Locations,Constellation,Fraction,Test type,Test length
Malaga,Kepler,1,Latency,2.00
Los Angeles,Kepler,1,Latency,2.00
Mauritius,Kepler,1,Latency,2.00
Vardø,Kepler,1,Latency,2.00
Nuuk,Kepler,1,Latency,2.00
Nemea,Kepler,1,Latency,2.00
Azores,Kepler,1,Latency,2.00
Bangalore,Kepler,1,Latency,2.00
Aalborg,Kepler,1,Latency,2.00
Inuvik,Kepler,1,Latency,2.00
Hawaii,Kepler,1,Latency,2.00
Svalbard,Kepler,1,Latency,2.00
Cordoba,Kepler,1,Latency,2.00
Tolhuin,Kepler,1,Latency,2.00
Tokyo,Kepler,1,Latency,2.00
Awarua,Kepler,1,Latency,2.00
Jeju,Kepler,1,Latency,2.00
Singapore,Kepler,1,Latency,2.00
Tromsø,Kepler,1,Latency,2.00
Jan Mayen,Kepler,1,Latency,2.00
Fairbanks,Kepler,1,Latency,2.00
Puertollano,Kepler,1,Latency,2.00
Punta Arenas,Kepler,1,Latency,2.00
Antarctica (TrollSat),Kepler,1,Latency,2.00
Hokkaido,Kepler,1,Latency,2.00
Okinawa,Kepler,1,Latency,2.00
Panama,Kepler,1,Latency,2.00
Maspalomas,Kepler,1,Latency,2.00
Hartebeesthoek,Kepler,1,Latency,2.00
Dubai,Kepler,1,Latency,2.00
Mingenew,Kepler,1,Latency,2.00
